DEVICE_A;PORT_A;PORTCHANNEL_A;DEVICE_B;PORT_B;PORTCHANNEL_B;PROTOCOL;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION
6NP-CORE;Twe1/0/1;1;1NP-ACCESS1;Ten1/1/1;1;LACP;20G;Full ;Trunk;;1NP-ACCESS1
6NP-CORE;Twe2/0/1;1;1NP-ACCESS1;Ten2/1/1;1;LACP;20G;Full ;Trunk;;1NP-ACCESS1
6NP-CORE;Twe1/0/2;2;3NP-ACCESS1;Ten1/1/1;1;LACP;20G;Full ;Trunk;;3NP-ACCESS1
6NP-CORE;Twe2/0/2;2;3NP-ACCESS1;Ten2/1/1;1;LACP;20G;Full ;Trunk;;3NP-ACCESS1
6NP-CORE;Twe1/0/3;3;4NP-ACCESS1;Ten1/1/1;1;LACP;20G;Full ;Trunk;;4NP-ACCESS1
6NP-CORE;Twe2/0/3;3;4NP-ACCESS1;Ten2/1/1;1;LACP;20G;Full ;Trunk;;4NP-ACCESS1
6NP-CORE;Twe1/0/4;4;4NP-ACCESS2;Ten1/1/1;1;LACP;20G;Full ;Trunk;;4NP-ACCESS2
6NP-CORE;Twe2/0/4;4;4NP-ACCESS2;Ten2/1/1;1;LACP;20G;Full ;Trunk;;4NP-ACCESS2
6NP-CORE;Twe1/0/5;5;5NP-ACCESS1;Ten1/1/1;1;LACP;20G;Full ;Trunk;;5NP-ACCESS1
6NP-CORE;Twe2/0/5;5;5NP-ACCESS1;Ten2/1/1;1;LACP;20G;Full ;Trunk;;5NP-ACCESS1
6NP-CORE;Twe1/0/6;6;5NP-ACCESS2;Ten1/1/1;1;LACP;20G;Full ;Trunk;;5NP-ACCESS2
6NP-CORE;Twe2/0/6;6;5NP-ACCESS2;Ten2/1/1;1;LACP;20G;Full ;Trunk;;5NP-ACCESS2
6NP-CORE;Twe1/0/10;10;UCS-Bck1;Port1;???;ON;20G;Full ;Trunk;;UCS-Bck1
6NP-CORE;Twe2/0/10;10;UCS-Bck1;Port3;???;ON;20G;Full ;Trunk;;UCS-Bck1
6NP-CORE;Twe1/0/11;11;UCS-Prod1;Port1;???;ON;20G;Full ;Trunk;;UCS-Prod1
6NP-CORE;Twe2/0/11;11;UCS-Prod1;Port3;???;ON;20G;Full ;Trunk;;UCS-Prod1
6NP-CORE;Twe1/0/12;12;UCS-Prod2;Port1;???;ON;20G;Full ;Trunk;;UCS-Prod2
6NP-CORE;Twe2/0/12;12;UCS-Prod2;Port3;???;ON;20G;Full ;Trunk;;UCS-Prod2
6NP-CORE;Twe1/1/1;21;ftd1;Port1;???;LACP;20G;Full ;Trunk;;ftd1
6NP-CORE;Twe2/1/1;21;ftd1;Port2;???;LACP;20G;Full ;Trunk;;ftd1
6NP-CORE;Twe1/1/2;22;ftd2;Port1;???;LACP;20G;Full ;Trunk;;ftd2
6NP-CORE;Twe2/1/2;22;ftd2;Port2;???;LACP;20G;Full ;Trunk;;ftd2
